Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.2222658446	        1.0001695532	        0.7501695532	       10.0016955316	      -74.2416546033	        7.1417524751	        7.1806331930	       33.9942361698	        1.0899847428	        7.5016648049	      103.9509045751	       73.7021108737	        0.2739711158	        2.1980044439	        9.9999590403	      138.5698794854	       98.2472703179	        0.0756110502	        0.2746059932	        7.0268352098	       44.5867286706	       19.1631797333	        1.4975509378	        1.0936559446	        2.7271423281	       -5.3375247515	      147.2531701340	        5.1166716553	      147.1302917991	       -2.5139574147	       -7.1711748917	        1.6759716098	        0.5143009921	     -309.5005005034	      338.9314780046	      539.0358339585	        0.4268244965	        0.6596939225	     -309.5738733737	     -316.9233166852	        0.0000000000
        0.2567158595	        1.0003676165	        0.7503676165	       10.0036761646	      -74.1079654650	        7.1362769574	        7.1863267053	       33.9875056337	        1.0899669267	        7.5019615588	      103.7731558233	       73.8793899191	        0.3015802790	        2.2034448316	        9.9977149790	      138.2964210443	       98.4575937167	        0.0837931820	        0.2757461939	        7.0249804414	       44.5749597800	       19.1525573490	        1.4941847176	        1.1221469874	        2.7263502737	       -5.2827695744	      147.2563778016	        5.1365343186	      147.1138318595	       -2.5078281147	       -7.1640005630	        1.6718854098	        0.5190429985	     -309.6357250989	      280.5549064373	      469.3350019885	        0.2637024491	        0.6587258061	     -309.7051051094	     -317.0463024110	        0.0000000000
        0.2930851975	        1.0004745680	        0.7504745680	       10.0047456802	      -73.9742187591	        7.1312421856	        7.1915531606	       33.9838723409	        1.0899573091	        7.5022772599	      103.5854484531	       74.0326994489	        0.3277882566	        2.2148880399	        9.9967108541	      138.0265939270	       98.6478457809	        0.0915740315	        0.2780328219	        7.0239792980	       44.5686073171	       19.1468254719	        1.4911480778	        1.1489760474	        2.7259228223	       -5.2324218557	      147.2580926561	        5.1574518360	      147.0985456186	       -2.5031831922	       -7.1644865145	        1.6687887948	        0.5223037414	     -309.6873353592	      227.0822386256	      408.9480009371	        0.0919533384	        0.6577506181	     -309.7540538077	     -317.0951665096	        0.0000000000
        0.3317030110	        1.0004771819	        0.7504771819	       10.0047718193	      -73.8397943089	        7.1265832687	        7.1963823903	       33.9837835527	        1.0899570741	        7.5026141159	      103.3861284235	       74.1624605737	        0.3526903087	        2.2315649798	        9.9971248915	      137.7605221227	       98.8204070152	        0.0989769209	        0.2813181415	        7.0239548335	       44.5684520852	       19.1466854201	        1.4883987518	        1.1743542439	        2.7259123776	       -5.1858326873	      147.2580979964	        5.1795999844	      147.0841704509	       -2.4999149185	       -7.1713246492	        1.6666099456	        0.5241718719	     -309.6627621736	      177.7847820856	      356.4671427907	       -0.0798239514	        0.6567628071	     -309.7280361639	     -317.0758874405	        0.0000000000
        0.3723155478	        1.0003659554	        0.7503659554	       10.0036595539	      -73.7059533386	        7.1223081744	        7.2008081129	       33.9875620684	        1.0899670761	        7.5029691808	      103.1765544186	       74.2670439155	        0.3760145168	        2.2524650089	        9.9990799515	      137.5016465994	       98.9744315848	        0.1059175011	        0.2854086288	        7.0249959924	       44.5750584543	       19.1526463932	        1.4859467246	        1.1981189535	        2.7263569138	       -5.1430817444	      147.2562386664	        5.2028218068	      147.0707324369	       -2.4979334769	       -7.1831120646	        1.6652889846	        0.5247423592	     -309.5667961577	      132.7327003476	      311.3660762294	       -0.2442632206	        0.6557709393	     -309.6317493352	     -316.9917210702	        0.0000000000
        0.4151366923	        1.0001348000	        0.7501348000	       10.0013480000	      -73.5722174952	        7.1183671126	        7.2048834850	       33.9954174178	        1.0899878696	        7.5033435336	      102.9556767747	       74.3465377030	        0.3978237988	        2.2767813194	       10.0026602333	      137.2495673775	       99.1109034044	        0.1124119169	        0.2901507356	        7.0271607576	       44.5887943391	       19.1650445995	        1.4837734050	        1.2204398290	        2.7272813673	       -5.1036711264	      147.2524150010	        5.2272298029	      147.0581226154	       -2.4970884394	       -7.1985650548	        1.6647256263	        0.5241559418	     -309.4023660171	       91.4055916401	      272.5043187753	       -0.3988124102	        0.6547710618	     -309.4680093013	     -316.8441535729	        0.0000000000
        0.4605405327	        0.9997767117	        0.7497767117	        9.9977671165	      -73.4376691384	        7.1147074947	        7.2086641023	       34.0075934994	        1.0900201004	        7.5037396133	      102.7216280737	       74.4007970920	        0.4182363029	        2.3038697751	       10.0079657006	      137.0029589840	       99.2306055066	        0.1184935240	        0.2954206372	        7.0305168826	       44.6100896493	       19.1842773250	        1.4818638081	        1.2415282545	        2.7287150640	       -5.0670749474	      147.2465122891	        5.2530267009	      147.0462429562	       -2.4972496426	       -7.2166192729	        1.6648330951	        0.5225301234	     -309.1693839539	       53.2622944737	      238.8111249056	       -0.5429518018	        0.6537559372	     -309.2366462835	     -316.6319147458	        0.0000000000
        0.5089573381	        0.9992827139	        0.7492827139	        9.9928271392	      -73.3013759550	        7.1112864980	        7.2121951183	       34.0244052323	        1.0900646021	        7.5041602654	      102.4722652355	       74.4290242231	        0.4373520781	        2.3331728525	       10.0151253005	      136.7604821676	       99.3336998712	        0.1241908034	        0.3011085162	        7.0351520615	       44.6395008218	       19.2108623872	        1.4802130189	        1.2615620619	        2.7306961128	       -5.0328649799	      147.2383836105	        5.2804445786	      147.0350357626	       -2.4983228268	       -7.2363813914	        1.6655485512	        0.5199470139	     -308.8652403092	       17.8766377145	      209.4101472951	       -0.6769214276	        0.6527180851	     -308.9350043820	     -316.3514314728	        0.0000000000
        0.5605508340	        0.9986456477	        0.7486456477	        9.9864564769	      -73.1632184602	        7.1080889171	        7.2154929523	       34.0461104283	        1.0901220570	        7.5046059016	      102.2068349533	       74.4298366549	        0.4551486646	        2.3639974778	       10.0242430110	      136.5223123499	       99.4193139099	        0.1294960496	        0.3070750623	        7.0411386825	       44.6774871756	       19.2452373733	        1.4788327559	        1.2805720990	        2.7332564008	       -5.0008891705	      147.2279121732	        5.3095620058	      147.0245379837	       -2.5002375515	       -7.2569741827	        1.6668250344	        0.5164742622	     -308.4875500884	      -14.8912486640	      183.7261989919	       -0.8005754491	        0.6516561268	     -308.5606648845	     -315.9993857678	        0.0000000000
        0.6134753046	        0.9978894727	        0.7478894727	        9.9788947267	      -73.0281139344	        7.1052038712	        7.2184663976	       34.0719096968	        1.0901903492	        7.5050596611	      101.9349170004	       74.4033838604	        0.4710628711	        2.3945490021	       10.0349850283	      136.2967667363	       99.4844647234	        0.1342405628	        0.3129660792	        7.0482578270	       44.7226596258	       19.2861721413	        1.4777696707	        1.2979636390	        2.7363034405	       -4.9720387118	      147.2154922643	        5.3393277399	      147.0151246716	       -2.5028343583	       -7.2769126993	        1.6685562388	        0.5123272642	     -308.0511015947	      -44.1196918703	      161.9939532866	       -0.9102074704	        0.6506079806	     -308.1282348614	     -315.5888086899	        0.0000000000
